C/A,Unit,SCP,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
A007,R079,01-06-03,NQRW,BMT,01/30/2022,09:00:00,REGULAR,227599,81257
A007,R079,01-06-03,NQRW,BMT,01/30/2022,13:00:00,REGULAR,227648,81335
A007,R079,01-06-03,NQRW,BMT,01/30/2022,17:00:00,REGULAR,227807,81432
A007,R079,01-06-03,NQRW,BMT,01/30/2022,21:00:00,REGULAR,227900,81446
A010,R080,00-00-00,NQRW,BMT,01/30/2022,03:00:00,REGULAR,5326434,3316795
A010,R080,00-00-00,NQRW,BMT,01/30/2022,07:00:00,REGULAR,5326440,3316806
A010,R080,00-00-00,NQRW,BMT,01/30/2022,11:00:00,REGULAR,5326442,3316926
A010,R080,00-00-00,NQRW,BMT,01/30/2022,15:00:00,REGULAR,5326453,3317179
A010,R080,00-00-00,NQRW,BMT,01/30/2022,19:00:00,REGULAR,5326470,3317355
A010,R080,00-00-00,NQRW,BMT,01/30/2022,23:00:00,REGULAR,5326477,3317419
A010,R080,00-00-01,NQRW,BMT,01/30/2022,03:00:00,REGULAR,15799959,6368945
A010,R080,00-00-01,NQRW,BMT,01/30/2022,07:00:00,REGULAR,15799968,6368952
A010,R080,00-00-01,NQRW,BMT,01/30/2022,11:00:00,REGULAR,15799998,6369003
A010,R080,00-00-01,NQRW,BMT,01/30/2022,15:00:00,REGULAR,15800123,6369106
A010,R080,00-00-01,NQRW,BMT,01/30/2022,19:00:00,REGULAR,15800313,6369219
A010,R080,00-00-01,NQRW,BMT,01/30/2022,23:00:00,REGULAR,15800398,6369274
A010,R080,00-00-02,NQRW,BMT,01/30/2022,03:00:00,REGULAR,11557068,4718460
A010,R080,00-00-02,NQRW,BMT,01/30/2022,07:00:00,REGULAR,11557069,4718467
A010,R080,00-00-02,NQRW,BMT,01/30/2022,11:00:00,REGULAR,11557083,4718503
A010,R080,00-00-02,NQRW,BMT,01/30/2022,15:00:00,REGULAR,11557147,4718577
A010,R080,00-00-02,NQRW,BMT,01/30/2022,19:00:00,REGULAR,11557238,4718643
A010,R080,00-00-02,NQRW,BMT,01/30/2022,23:00:00,REGULAR,11557287,4718676
A010,R080,00-00-03,NQRW,BMT,01/30/2022,03:00:00,REGULAR,3954026,1978389
A010,R080,00-00-03,NQRW,BMT,01/30/2022,07:00:00,REGULAR,3954027,1978398
A010,R080,00-00-03,NQRW,BMT,01/30/2022,11:00:00,REGULAR,3954034,1978433
A010,R080,00-00-03,NQRW,BMT,01/30/2022,15:00:00,REGULAR,3954062,1978480
A010,R080,00-00-03,NQRW,BMT,01/30/2022,19:00:00,REGULAR,3954116,1978508
A010,R080,00-00-03,NQRW,BMT,01/30/2022,23:00:00,REGULAR,3954131,1978523
A010,R080,00-00-04,NQRW,BMT,01/30/2022,03:00:00,REGULAR,4955151,2418460
A010,R080,00-00-04,NQRW,BMT,01/30/2022,07:00:00,REGULAR,4955153,2418465
A010,R080,00-00-04,NQRW,BMT,01/30/2022,11:00:00,REGULAR,4955169,2418488
A010,R080,00-00-04,NQRW,BMT,01/30/2022,15:00:00,REGULAR,4955213,2418537
A010,R080,00-00-04,NQRW,BMT,01/30/2022,19:00:00,REGULAR,4955329,2418560
A010,R080,00-00-04,NQRW,BMT,01/30/2022,23:00:00,REGULAR,4955382,2418575
A010,R080,00-00-05,NQRW,BMT,01/30/2022,03:00:00,REGULAR,2485735,745967
A010,R080,00-00-05,NQRW,BMT,01/30/2022,07:00:00,REGULAR,2485740,745975
A010,R080,00-00-05,NQRW,BMT,01/30/2022,11:00:00,REGULAR,2485792,746003
A010,R080,00-00-05,NQRW,BMT,01/30/2022,15:00:00,REGULAR,2485899,746059
A010,R080,00-00-05,NQRW,BMT,01/30/2022,19:00:00,REGULAR,2486090,746095
A010,R080,00-00-05,NQRW,BMT,01/30/2022,23:00:00,REGULAR,2486179,746107
A010,R080,00-00-06,NQRW,BMT,01/30/2022,03:00:00,REGULAR,20174435,5635019
A010,R080,00-00-06,NQRW,BMT,01/30/2022,07:00:00,REGULAR,20174441,5635030
A010,R080,00-00-06,NQRW,BMT,01/30/2022,11:00:00,REGULAR,20174472,5635059
A010,R080,00-00-06,NQRW,BMT,01/30/2022,15:00:00,REGULAR,20174566,5635160
A010,R080,00-00-06,NQRW,BMT,01/30/2022,19:00:00,REGULAR,20174735,5635216
A010,R080,00-00-06,NQRW,BMT,01/30/2022,23:00:00,REGULAR,20174807,5635247
A010,R080,00-00-07,NQRW,BMT,01/30/2022,03:00:00,REGULAR,4530709,779960
A010,R080,00-00-07,NQRW,BMT,01/30/2022,07:00:00,REGULAR,4530730,779980
A010,R080,00-00-07,NQRW,BMT,01/30/2022,11:00:00,REGULAR,4530865,780071
A010,R080,00-00-07,NQRW,BMT,01/30/2022,15:00:00,REGULAR,4531151,780237
A010,R080,00-00-07,NQRW,BMT,01/30/2022,19:00:00,REGULAR,4531580,780328
A010,R080,00-00-07,NQRW,BMT,01/30/2022,23:00:00,REGULAR,4531822,780367
A011,R080,01-00-00,NQRW,BMT,01/30/2022,03:00:00,REGULAR,537990,1926784
A011,R080,01-00-00,NQRW,BMT,01/30/2022,07:00:00,REGULAR,537995,1926807
A011,R080,01-00-00,NQRW,BMT,01/30/2022,11:00:00,REGULAR,538003,1926987
A011,R080,01-00-00,NQRW,BMT,01/30/2022,15:00:00,REGULAR,538025,1927291
A011,R080,01-00-00,NQRW,BMT,01/30/2022,19:00:00,REGULAR,538044,1927615
A011,R080,01-00-00,NQRW,BMT,01/30/2022,23:00:00,REGULAR,538079,1927729
A011,R080,01-00-01,NQRW,BMT,01/30/2022,03:00:00,REGULAR,806277,1326796
A011,R080,01-00-01,NQRW,BMT,01/30/2022,07:00:00,REGULAR,806278,1326802
A011,R080,01-00-01,NQRW,BMT,01/30/2022,11:00:00,REGULAR,806293,1326866
A011,R080,01-00-01,NQRW,BMT,01/30/2022,15:00:00,REGULAR,806332,1327052
A011,R080,01-00-01,NQRW,BMT,01/30/2022,19:00:00,REGULAR,806380,1327233
A011,R080,01-00-01,NQRW,BMT,01/30/2022,23:00:00,REGULAR,806423,1327282
A011,R080,01-00-02,NQRW,BMT,01/30/2022,03:00:00,REGULAR,813118,1508987
A011,R080,01-00-02,NQRW,BMT,01/30/2022,07:00:00,REGULAR,813120,1508993
A011,R080,01-00-02,NQRW,BMT,01/30/2022,11:00:00,REGULAR,813130,1509051
A011,R080,01-00-02,NQRW,BMT,01/30/2022,15:00:00,REGULAR,813146,1509227
A011,R080,01-00-02,NQRW,BMT,01/30/2022,19:00:00,REGULAR,813179,1509385
A011,R080,01-00-02,NQRW,BMT,01/30/2022,23:00:00,REGULAR,813221,1509456
A011,R080,01-00-03,NQRW,BMT,01/30/2022,03:00:00,REGULAR,1202223,1405534
A011,R080,01-00-03,NQRW,BMT,01/30/2022,07:00:00,REGULAR,1202228,1405557
A011,R080,01-00-03,NQRW,BMT,01/30/2022,11:00:00,REGULAR,1202263,1405655
A011,R080,01-00-03,NQRW,BMT,01/30/2022,15:00:00,REGULAR,1202314,1405863
A011,R080,01-00-03,NQRW,BMT,01/30/2022,19:00:00,REGULAR,1202415,1406054
A011,R080,01-00-03,NQRW,BMT,01/30/2022,23:00:00,REGULAR,1202458,1406123
A011,R080,01-00-04,NQRW,BMT,01/30/2022,03:00:00,REGULAR,4604012,3336370
A011,R080,01-00-04,NQRW,BMT,01/30/2022,07:00:00,REGULAR,4604034,3336403
A011,R080,01-00-04,NQRW,BMT,01/30/2022,11:00:00,REGULAR,4604134,3336549
A011,R080,01-00-04,NQRW,BMT,01/30/2022,15:00:00,REGULAR,4604295,3336715
A011,R080,01-00-04,NQRW,BMT,01/30/2022,19:00:00,REGULAR,4604510,3336860
A011,R080,01-00-04,NQRW,BMT,01/30/2022,23:00:00,REGULAR,4604667,3336941
A011,R080,01-03-00,NQRW,BMT,01/30/2022,03:00:00,REGULAR,885526738,489314418
A011,R080,01-03-00,NQRW,BMT,01/30/2022,07:00:00,REGULAR,885526733,489314392
A011,R080,01-03-00,NQRW,BMT,01/30/2022,11:00:00,REGULAR,885526724,489314249
A011,R080,01-03-00,NQRW,BMT,01/30/2022,15:00:00,REGULAR,885526699,489314028
A011,R080,01-03-00,NQRW,BMT,01/30/2022,19:00:00,REGULAR,885526630,489313859
A011,R080,01-03-00,NQRW,BMT,01/30/2022,23:00:00,REGULAR,885526595,489313799
A011,R080,01-03-01,NQRW,BMT,01/30/2022,03:00:00,REGULAR,176011,252496
A011,R080,01-03-01,NQRW,BMT,01/30/2022,07:00:00,REGULAR,176018,252515
A011,R080,01-03-01,NQRW,BMT,01/30/2022,11:00:00,REGULAR,176026,252567
A011,R080,01-03-01,NQRW,BMT,01/30/2022,15:00:00,REGULAR,176056,252747
A011,R080,01-03-01,NQRW,BMT,01/30/2022,19:00:00,REGULAR,176113,252861
A011,R080,01-03-01,NQRW,BMT,01/30/2022,23:00:00,REGULAR,176136,252907
A011,R080,01-03-02,NQRW,BMT,01/30/2022,03:00:00,REGULAR,165413,215077
A011,R080,01-03-02,NQRW,BMT,01/30/2022,07:00:00,REGULAR,165417,215095
A011,R080,01-03-02,NQRW,BMT,01/30/2022,11:00:00,REGULAR,165425,215161
A011,R080,01-03-02,NQRW,BMT,01/30/2022,15:00:00,REGULAR,165464,215367
A011,R080,01-03-02,NQRW,BMT,01/30/2022,19:00:00,REGULAR,165556,215517
A011,R080,01-03-02,NQRW,BMT,01/30/2022,23:00:00,REGULAR,165604,215564
A011,R080,01-03-03,NQRW,BMT,01/30/2022,03:00:00,REGULAR,41989,180969
A011,R080,01-03-03,NQRW,BMT,01/30/2022,07:00:00,REGULAR,41992,180979
A011,R080,01-03-03,NQRW,BMT,01/30/2022,11:00:00,REGULAR,42005,181047
A011,R080,01-03-03,NQRW,BMT,01/30/2022,15:00:00,REGULAR,42026,181233
A011,R080,01-03-03,NQRW,BMT,01/30/2022,19:00:00,REGULAR,42067,181377
A011,R080,01-03-03,NQRW,BMT,01/30/2022,23:00:00,REGULAR,42101,181442
A011,R080,01-03-04,NQRW,BMT,01/30/2022,03:00:00,REGULAR,108109,118038
A011,R080,01-03-04,NQRW,BMT,01/30/2022,07:00:00,REGULAR,108112,118050
A011,R080,01-03-04,NQRW,BMT,01/30/2022,11:00:00,REGULAR,108121,118094
A011,R080,01-03-04,NQRW,BMT,01/30/2022,15:00:00,REGULAR,108158,118216
A011,R080,01-03-04,NQRW,BMT,01/30/2022,19:00:00,REGULAR,108263,118301
A011,R080,01-03-04,NQRW,BMT,01/30/2022,23:00:00,REGULAR,108312,118336
A011,R080,01-05-00,NQRW,BMT,01/30/2022,03:00:00,REGULAR,459966,0
A011,R080,01-05-00,NQRW,BMT,01/30/2022,07:00:00,REGULAR,459966,0
A011,R080,01-05-00,NQRW,BMT,01/30/2022,11:00:00,REGULAR,459966,0
A011,R080,01-05-00,NQRW,BMT,01/30/2022,15:00:00,REGULAR,459969,0
A011,R080,01-05-00,NQRW,BMT,01/30/2022,19:00:00,REGULAR,459973,0
A011,R080,01-05-00,NQRW,BMT,01/30/2022,23:00:00,REGULAR,459973,0
A011,R080,01-05-01,NQRW,BMT,01/30/2022,03:00:00,REGULAR,0,242
A011,R080,01-05-01,NQRW,BMT,01/30/2022,07:00:00,REGULAR,0,242
A011,R080,01-05-01,NQRW,BMT,01/30/2022,11:00:00,REGULAR,0,242
A011,R080,01-05-01,NQRW,BMT,01/30/2022,15:00:00,REGULAR,0,242
A011,R080,01-05-01,NQRW,BMT,01/30/2022,19:00:00,REGULAR,0,242
A011,R080,01-05-01,NQRW,BMT,01/30/2022,23:00:00,REGULAR,0,243
A013,R081,01-00-00,NQRW,BMT,01/30/2022,03:00:00,REGULAR,6287147,39437646
A013,R081,01-00-00,NQRW,BMT,01/30/2022,07:00:00,REGULAR,6287148,39437682
A013,R081,01-00-00,NQRW,BMT,01/30/2022,11:00:00,REGULAR,6287154,39437815
